Tag	Pop	Comment	TypAeg	NDD	EDD	Alt	Taes	Tdur	Aeg	Mil
7220	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0	0	0.999	1
7221	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0	0	0.999	1
7223	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0	0	0.999	1
7224	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0.001	0.009	0.99	1
7225	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0.001	0	0.998	1
7227	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0	0	0.999	1
7229	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0.005	0.048	0.947	1
7233	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0.001	0.002	0.997	1
7234	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0.001	0.001	0.999	1
7235	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0.002	0.002	0.996	1
7236	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0	0	0.999	1
7237	695422	BENAOCAZ (Sortie du village)	triun	36.69529	-5.42203	780.95	0	0.001	0.999	1
7238	702466	Belle Pature a orchidee	triun	36.70274	-5.46686	418.54	0.001	0.001	0.999	2
7239	702466	Belle Pature a orchidee	triun	36.70274	-5.46686	418.54	0.004	0.007	0.989	2
7240	702466	Belle Pature a orchidee	triun	36.70274	-5.46686	418.54	0	0	0.999	2
7241	702466	Belle Pature a orchidee	triun	36.70274	-5.46686	418.54	0.001	0	0.999	2
7242	702466	Belle Pature a orchidee	triun	36.70274	-5.46686	418.54	0	0	0.999	2
7244	702466	Belle Pature a orchidee	triun	36.70274	-5.46686	418.54	0	0	0.999	2
7245	702466	Belle Pature a orchidee	triun	36.70274	-5.46686	418.54	0.001	0.214	0.785	2
